region,rajon,title,amount,period,month
Минская,Воложинский,"Воложинский район",5110.3,2,Март
Минская,Дзержинский,"Дзержинский район",7102.4,2,Март
Минская,Клецкий,"Клецкий район",4976,2,Март
Минская,Копыльский,"Копыльский район",4896,2,Март
Минская,Крупский,"Крупский район",5006.8,2,Март
Минская,Логойский,"Логойский район",5853.3,2,Март
Минская,Любанский,"Любанский район",4728.7,2,Март
Минская,Минский,"Минский район",7902.1,2,Март
Минская,Молодечненский,"Молодечненский район",5612.7,2,Март
Минская,Мядельский,"Мядельский район",5000.5,2,Март
Минская,Несвижский,"Несвижский район",6000.5,2,Март
Минская,Пуховичский,"Пуховичский район",5855.3,2,Март
Минская,Слуцкий,"Слуцкий район",5766.9,2,Март
Минская,Смолевичский,"Смолевичский район",6450.3,2,Март
Минская,Солигорский,"Солигорский район",8635.3,2,Март
Минская,Стародорожский,"Стародорожский район",5163.4,2,Март
Минская,Столбцовский,"Столбцовский район",5545.6,2,Март
Минская,Узденский,"Узденский район",5658.8,2,Март
Минская,Червенский,"Червенский район",5184.2,2,Март
Гомельская,Всего,"Гомельская область",5558.1,0,Январь
Минская,Жодино,Жодино,5673.8,0,Январь
Минская,Березинский,"Березинский район",4605,0,Январь
Минская,Борисовский,"Борисовский район",5102.9,0,Январь
Минская,Вилейский,"Вилейский район",4741.7,0,Январь
Минская,Воложинский,"Воложинский район",4522,0,Январь
Минская,Дзержинский,"Дзержинский район",6250.5,0,Январь
Минская,Клецкий,"Клецкий район",4582.4,0,Январь
Минская,Копыльский,"Копыльский район",4434,0,Январь
Минская,Крупский,"Крупский район",4798.8,0,Январь
Минская,Логойский,"Логойский район",5441,0,Январь
Минская,Любанский,"Любанский район",4368,0,Январь
Минская,Минский,"Минский район",7333.7,0,Январь
Минская,Молодечненский,"Молодечненский район",5292.7,0,Январь
Минская,Мядельский,"Мядельский район",4795.1,0,Январь
Минская,Несвижский,"Несвижский район",5500.4,0,Январь
Минская,Пуховичский,"Пуховичский район",5354.6,0,Январь
Минская,Слуцкий,"Слуцкий район",5249.5,0,Январь
Минская,Смолевичский,"Смолевичский район",6065.3,0,Январь
Минская,Солигорский,"Солигорский район",8325.9,0,Январь
Минская,Стародорожский,"Стародорожский район",4609.9,0,Январь
Минская,Столбцовский,"Столбцовский район",5184.6,0,Январь
Минская,Узденский,"Узденский район",5210.9,0,Январь
Минская,Червенский,"Червенский район",4740.5,0,Январь
Гомельская,Всего,"Гомельская область",5590.7,1,Февраль
Могилевская,Могилев,Могилев,5825,0,Январь
Могилевская,Бобруйск,Бобруйск,5228.3,0,Январь
Могилевская,Белыничский,"Белыничский район",5020,0,Январь
Могилевская,Бобруйский,"Бобруйский район",4305.2,0,Январь
Могилевская,Быховский,"Быховский район",4635.4,0,Январь
Могилевская,Глусский,"Глусский район",4381.3,0,Январь
Могилевская,Горецкий,"Горецкий район",4815.4,0,Январь
Могилевская,Дрибинский,"Дрибинский район",4645.6,0,Январь
Могилевская,Кировский,"Кировский район",4465.6,0,Январь
Могилевская,Климовичский,"Климовичский район",4565,0,Январь
Могилевская,Кличевский,"Кличевский район",4764.7,0,Январь
Могилевская,Костюковичский,"Костюковичский район",4990.4,0,Январь
Могилевская,Краснопольский,"Краснопольский район",4564.7,0,Январь
Могилевская,Кричевский,"Кричевский район",4957.7,0,Январь
Могилевская,Круглянский,"Круглянский район",4850.8,0,Январь
Могилевская,Могилевский,"Могилевский район",5479.1,0,Январь
Могилевская,Мстиславский,"Мстиславский район",4067.5,0,Январь
Могилевская,Осиповичский,"Осиповичский район",5134.7,0,Январь
Могилевская,Славгородский,"Славгородский район",4284.5,0,Январь
Могилевская,Хотимский,"Хотимский район",4243.8,0,Январь
Могилевская,Чаусский,"Чаусский район",4346.2,0,Январь
Могилевская,Чериковский,"Чериковский район",4669.8,0,Январь
Могилевская,Шкловский,"Шкловский район",5134.1,0,Январь
Гомельская,Всего,"Гомельская область",6000.1,2,Март
Могилевская,Могилев,Могилев,5902.5,1,Февраль
Могилевская,Бобруйск,Бобруйск,5294.5,1,Февраль
Могилевская,Белыничский,"Белыничский район",4992.7,1,Февраль
Могилевская,Бобруйский,"Бобруйский район",4317.2,1,Февраль
Могилевская,Быховский,"Быховский район",4546.9,1,Февраль
Могилевская,Глусский,"Глусский район",4320,1,Февраль
Могилевская,Горецкий,"Горецкий район",4856.6,1,Февраль
Могилевская,Дрибинский,"Дрибинский район",4519.5,1,Февраль
Могилевская,Кировский,"Кировский район",4353.6,1,Февраль
Могилевская,Климовичский,"Климовичский район",4529.9,1,Февраль
Могилевская,Кличевский,"Кличевский район",4659.3,1,Февраль
Могилевская,Костюковичский,"Костюковичский район",5187.8,1,Февраль
Могилевская,Краснопольский,"Краснопольский район",4406.1,1,Февраль
Могилевская,Кричевский,"Кричевский район",4827.3,1,Февраль
Могилевская,Круглянский,"Круглянский район",4913.1,1,Февраль
Могилевская,Могилевский,"Могилевский район",5358,1,Февраль
Могилевская,Мстиславский,"Мстиславский район",4091.4,1,Февраль
Могилевская,Осиповичский,"Осиповичский район",5271.4,1,Февраль
Могилевская,Славгородский,"Славгородский район",4181.4,1,Февраль
Могилевская,Хотимский,"Хотимский район",4307,1,Февраль
Могилевская,Чаусский,"Чаусский район",4319,1,Февраль
Могилевская,Чериковский,"Чериковский район",4520.8,1,Февраль
Могилевская,Шкловский,"Шкловский район",5149.5,1,Февраль
Витебская,Всего,"Витебская область",5724.7,3,Апрель
Могилевская,Могилев,Могилев,6295.3,2,Март
Могилевская,Бобруйск,Бобруйск,5582.3,2,Март
Могилевская,Белыничский,"Белыничский район",5512.5,2,Март
Могилевская,Бобруйский,"Бобруйский район",4603.1,2,Март
Могилевская,Быховский,"Быховский район",4919,2,Март
Могилевская,Глусский,"Глусский район",4707.8,2,Март
Могилевская,Горецкий,"Горецкий район",5014.8,2,Март
Могилевская,Дрибинский,"Дрибинский район",4956.6,2,Март
Могилевская,Кировский,"Кировский район",4766.4,2,Март
Могилевская,Климовичский,"Климовичский район",5029.7,2,Март
Могилевская,Кличевский,"Кличевский район",5030.2,2,Март
