group,subgroup,amount,period,month
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",27659262,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,9315250,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,9421550,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10612185,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",10468809,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,9112482,8,Сентябрь
Образование,Образование,4810063,8,Сентябрь
Здравоохранение и предоставление социальных услуг,Всего,5442301,8,Сентябрь
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5657846,8,Сентябрь
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,4000890,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг",Всего,5461349,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5429803,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4251105,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9642721,8,Сентябрь
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6898757,8,Сентябрь
Всего,Всего,6837568,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",Всего,4912972,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4817713,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",растениеводство,4788098,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4759189,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5724199,9,Октябрь
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",5277261,9,Октябрь
